Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of Triglyceride Catabolic Process (GO:0010896)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	APOA4
Positive Regulation Of CoA-transferase Activity (GO:1905920)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	APOA4
Positive Regulation Of ER-associated Ubiquitin-Dependent Protein Catabolic Process (GO:1903071)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SGTA
Response To UV-A (GO:0070141)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	MME
Complement Receptor Mediated Signaling Pathway (GO:0002430)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	C5AR1
Response To Hepatocyte Growth Factor (GO:0035728)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	BCAR1
Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition (GO:0062043)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	ENG
Response To Vitamin (GO:0033273)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SPP1
Response To Vitamin D (GO:0033280)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SPP1
Reverse Cholesterol Transport (GO:0043691)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	APOA4
Dorsal Aorta Development (GO:0035907)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	ENG
Dorsal Aorta Morphogenesis (GO:0035912)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	ENG
Positive Regulation Of Circadian Rhythm (GO:0042753)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	THRAP3
Sensory Perception Of Chemical Stimulus (GO:0007606)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	C5AR1
Sensory Perception Of Pain (GO:0019233)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	MME
Skeletal Muscle Fiber Development (GO:0048741)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	CAV2
Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation (GO:0003198)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	ENG
Excitatory Synapse Assembly (GO:1904861)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SHANK3
Tail-Anchored Membrane Protein Insertion Into ER Membrane (GO:0071816)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SGTA
Translational Termination (GO:0006415)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	APEH
Vascular Associated Smooth Muscle Cell Development (GO:0097084)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	ENG
Vascular Associated Smooth Muscle Cell Differentiation (GO:0035886)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	ENG
Venous Blood Vessel Development (GO:0060841)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	ENG
Venous Blood Vessel Morphogenesis (GO:0048845)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	ENG
Heart Trabecula Morphogenesis (GO:0061384)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	ENG
Ventricular Trabecula Myocardium Morphogenesis (GO:0003222)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	ENG
Positive Regulation Of Phospholipase C Activity (GO:0010863)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	C5AR1
High-Density Lipoprotein Particle Remodeling (GO:0034375)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	APOA4
Insulin Secretion (GO:0030073)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	RAB11FIP5
Insulin Secretion Involved In Cellular Response To Glucose Stimulus (GO:0035773)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	RAB11FIP5
Internal Protein Amino Acid Acetylation (GO:0006475)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	MAPT
Positive Regulation Of Triglyceride Catabolic Process (GO:0010898)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	APOA4
Positive Regulation Of Triglyceride Metabolic Process (GO:0090208)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	APOA4
Positive Regulation Of Vascular Associated Smooth Muscle Cell Differentiation (GO:1905065)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	ENG
Postsynaptic Density Assembly (GO:0097107)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SHANK3
Postsynaptic Density Organization (GO:0097106)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SHANK3
Membrane Biogenesis (GO:0044091)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SPTBN1
Protein Localization To Nuclear Envelope (GO:0090435)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	LMNA
Protein Targeting To Vacuole Involved In Autophagy (GO:0071211)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SQSTM1
Purine-Containing Compound Metabolic Process (GO:0072521)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	TTR
Regulation Of AMPA Receptor Activity (GO:2000311)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	SHANK3
Regulation Of CoA-transferase Activity (GO:1905918)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	APOA4
Myotube Cell Development (GO:0014904)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	CAV2
Regulation Of Actin Filament Organization (GO:0110053)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	VIL1
Negative Regulation Of Amyloid-Beta Clearance (GO:1900222)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	LRPAP1
Regulation Of Cardiac Muscle Hypertrophy In Response To Stress (GO:1903242)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	LMNA
Negative Regulation Of Centriole Replication (GO:0046600)	1/1	0.053888669666786966	0.40992235900376406	0	0	Infinity	Infinity	RBM14
Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)	3/17	0.05952719012106204	0.4149449203176122	0	0	3.8503039513677813	10.86294760656357	PXN;ZYX;ENG
Synapse Organization (GO:0050808)	3/17	0.05952719012106204	0.4149449203176122	0	0	3.8503039513677813	10.86294760656357	C5AR1;MAPT;SHANK3
Regulation Of Translation (GO:0006417)	5/40	0.06029966301616047	0.4149449203176122	0	0	2.590062111801242	7.274004934603101	HSPB1;EEF2;LSM14A;EIF4B;EIF3B
Signal Transduction By P53 Class Mediator (GO:0072331)	2/8	0.06508094174828834	0.4149449203176122	0	0	5.954385964912281	16.268117978280763	JMY;NDRG1
Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0048010)	2/8	0.06508094174828834	0.4149449203176122	0	0	5.954385964912281	16.268117978280763	HSPB1;BCAR1
Protein Polymerization (GO:0051258)	2/8	0.06508094174828834	0.4149449203176122	0	0	5.954385964912281	16.268117978280763	VIL1;MAPT
Positive Regulation Of Supramolecular Fiber Organization (GO:1902905)	4/29	0.06684106797988076	0.4149449203176122	0	0	2.8868817204301074	7.8102783452006665	VIL1;CARMIL1;MAPT;SYNPO
Regulation Of Mitochondrion Organization (GO:0010821)	2/9	0.0808033588259615	0.4149449203176122	0	0	5.100751879699248	12.832148929310291	MAPT;SQSTM1
Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000058)	2/9	0.0808033588259615	0.4149449203176122	0	0	5.100751879699248	12.832148929310291	SGTA;RAD23A
Response To Epidermal Growth Factor (GO:0070849)	2/9	0.0808033588259615	0.4149449203176122	0	0	5.100751879699248	12.832148929310291	VIL1;PTPN12
Response To Metal Ion (GO:0010038)	2/9	0.0808033588259615	0.4149449203176122	0	0	5.100751879699248	12.832148929310291	MAPT;NDRG1
Insulin Receptor Signaling Pathway (GO:0008286)	2/9	0.0808033588259615	0.4149449203176122	0	0	5.100751879699248	12.832148929310291	CAV2;BCAR1
Negative Regulation Of Actin Filament Polymerization (GO:0030837)	2/9	0.0808033588259615	0.4149449203176122	0	0	5.100751879699248	12.832148929310291	VIL1;KANK3
Regulation Of Axon Extension (GO:0030516)	2/9	0.0808033588259615	0.4149449203176122	0	0	5.100751879699248	12.832148929310291	MAPT;RTN4
Supramolecular Fiber Organization (GO:0097435)	5/44	0.08416627205063794	0.4149449203176122	0	0	2.318840579710145	5.73904001728254	CARMIL1;TAGLN2;MAPT;BCAR1;AGFG1
Regulation Of Translational Initiation (GO:0006446)	3/20	0.08891124958176823	0.4149449203176122	0	0	3.165206508135169	7.660168820650149	HSPB1;EIF4B;EIF3B
Positive Regulation Of Cellular Component Organization (GO:0051130)	3/20	0.08891124958176823	0.4149449203176122	0	0	3.165206508135169	7.660168820650149	AHNAK;AJUBA;SHANK3
Regulation Of Protein Transport (GO:0051223)	2/10	0.0975528729123516	0.4149449203176122	0	0	4.4605263157894735	10.38125392381784	GAPVD1;STXBP5L
Cellular Response To Organic Substance (GO:0071310)	2/10	0.0975528729123516	0.4149449203176122	0	0	4.4605263157894735	10.38125392381784	MME;DPYSL3
Memory (GO:0007613)	2/10	0.0975528729123516	0.4149449203176122	0	0	4.4605263157894735	10.38125392381784	MAPT;SHANK3
Cellular Component Assembly (GO:0022607)	5/46	0.09773263121697148	0.4149449203176122	0	0	2.2030752916224814	5.123295171164433	VIL1;SLC7A9;DPYSL3;RTN4;SPTBN1
Regulation Of Protein Localization (GO:0032880)	3/21	0.09983493789510708	0.4149449203176122	0	0	2.9875886524822697	6.88411254632042	TRIM25;MAPT;RAB11FIP5
Cellular Response To Oxidative Stress (GO:0034599)	3/21	0.09983493789510708	0.4149449203176122	0	0	2.9875886524822697	6.88411254632042	PXN;MAPT;SQSTM1
Regulation Of Centriole Replication (GO:0046599)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	RBM14
Negative Regulation Of Establishment Of Protein Localization To Mitochondrion (GO:1903748)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	MAPT
Negative Regulation Of Glucose Import (GO:0046325)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	PEA15
Negative Regulation Of Glucose Transmembrane Transport (GO:0010829)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	PEA15
Regulation Of Endothelial Cell Chemotaxis (GO:2001026)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	HSPB1
Negative Regulation Of Lipoprotein Particle Clearance (GO:0010985)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	LRPAP1
Regulation Of Establishment Of Protein Localization (GO:0070201)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	GAPVD1
Regulation Of Establishment Of Protein Localization To Mitochondrion (GO:1903747)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	MAPT
Regulation Of Focal Adhesion Disassembly (GO:0120182)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	MAP4K4
Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902176)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	HSPB1
Negative Regulation Of Phosphatase Activity (GO:0010923)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	PPP1R1B
Negative Regulation Of Protein Autophosphorylation (GO:0031953)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	ENG
Negative Regulation Of Protein Dephosphorylation (GO:0035308)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	PPP1R1B
Regulation Of Lipoprotein Lipase Activity (GO:0051004)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	APOA4
Aggrephagy (GO:0035973)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SQSTM1
Regulation Of Mitotic Centrosome Separation (GO:0046602)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	NSFL1C
Regulation Of Mitotic Nuclear Division (GO:0007088)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	CAV2
Regulation Of Morphogenesis Of A Branching Structure (GO:0060688)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	RTN4
Neuron Projection Fasciculation (GO:0106030)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	RTN4
Auditory Behavior (GO:0031223)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SHANK3
Neurotransmitter-Gated Ion Channel Clustering (GO:0072578)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SHANK3
Neurotrophin TRK Receptor Signaling Pathway (GO:0048011)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	BCAR1
Axonal Fasciculation (GO:0007413)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	RTN4
Nonribosomal Peptide Biosynthetic Process (GO:0019184)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	GCLM
Axonal Transport Of Mitochondrion (GO:0019896)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	MAPT
Nucleobase Catabolic Process (GO:0046113)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	DPYSL3
Branching Involved In Blood Vessel Morphogenesis (GO:0001569)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	ENG
Regulation Of Protein Kinase A Signaling (GO:0010738)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	AKAP12
Cardiac Atrium Morphogenesis (GO:0003209)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	ENG
Cardiac Epithelial To Mesenchymal Transition (GO:0060317)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	ENG
Regulation Of Superoxide Anion Generation (GO:0032928)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	MAPT
Plus-End-Directed Organelle Transport Along Microtubule (GO:0072386)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	MAPT
Positive Regulation Of ERAD Pathway (GO:1904294)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SGTA
Positive Regulation Of ERBB Signaling Pathway (GO:1901186)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	RTN4
Regulation Of Viral Entry Into Host Cell (GO:0046596)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	TRIM25
Regulation Of Viral Life Cycle (GO:1903900)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	TRIM25
Cholesterol Efflux (GO:0033344)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	APOA4
Response To Axon Injury (GO:0048678)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	DPYSL3
Positive Regulation Of Amyloid-Beta Clearance (GO:1900223)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	LRPAP1
Positive Regulation Of Bone Resorption (GO:0045780)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SPP1
Dendritic Spine Morphogenesis (GO:0060997)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SHANK3
Dendritic Spine Organization (GO:0097061)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	SHANK3
Positive Regulation Of Cell Junction Assembly (GO:1901890)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	MAP4K4
Positive Regulation Of Cell Migration By Vascular Endothelial Growth Factor Signaling Pathway (GO:0038089)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	HSPB1
Retina Homeostasis (GO:0001895)	1/2	0.10490180569827275	0.4149449203176122	0	0	17.729166666666668	39.97449371305913	HSPB1
